year,coo_name,coo,coo_iso,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2015,Afghanistan,AFG,AFG,Afghanistan,AFG,AFG,0,0,0,1174306,123653,0,150317,,0
2015,Iran (Islamic Rep. of),IRN,IRN,Afghanistan,AFG,AFG,30,20,0,0,0,0,0,,0
2015,Pakistan,PAK,PAK,Afghanistan,AFG,AFG,257523,51,0,0,0,0,0,,0
2015,Tajikistan,TJK,TJK,Afghanistan,AFG,AFG,0,7,0,0,0,0,0,,0
2015,Egypt,ARE,EGY,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2015,China,CHI,CHN,Albania,ALB,ALB,11,0,0,0,0,0,0,,0
2015,Dem. Rep. of the Congo,COD,COD,Albania,ALB,ALB,0,5,0,0,0,0,0,,0
2015,Palestinian,GAZ,PSE,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2015,Iran (Islamic Rep. of),IRN,IRN,Albania,ALB,ALB,9,813,0,0,0,0,0,,0
2015,Iraq,IRQ,IRQ,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,Albania,ALB,ALB,59,12,0,0,0,0,0,,0
2015,Syrian Arab Rep.,SYR,SYR,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2015,Türkiye,TUR,TUR,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2015,Uzbekistan,UZB,UZB,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2015,Stateless,STA,XXA,Albania,ALB,ALB,0,0,0,0,0,7442,0,,0
2015,Burkina Faso,BKF,BFA,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2015,Central African Rep.,CAR,CAF,Algeria,ALG,DZA,20,23,0,0,0,0,0,,0
2015,Cameroon,CMR,CMR,Algeria,ALG,DZA,10,23,0,0,0,0,0,,0
2015,Congo,COB,COG,Algeria,ALG,DZA,0,6,0,0,0,0,0,,0
2015,Dem. Rep. of the Congo,COD,COD,Algeria,ALG,DZA,42,23,0,0,0,0,0,,0
2015,Palestinian,GAZ,PSE,Algeria,ALG,DZA,4016,86,0,0,0,0,0,,0
2015,Guinea,GUI,GIN,Algeria,ALG,DZA,0,27,0,0,0,0,0,,0
2015,Cote d'Ivoire,ICO,CIV,Algeria,ALG,DZA,23,21,8,0,0,0,0,,0
2015,Iraq,IRQ,IRQ,Algeria,ALG,DZA,21,5,0,0,0,0,0,,0
2015,Libya,LBY,LBY,Algeria,ALG,DZA,13,29,0,0,0,0,0,,0
2015,Mali,MLI,MLI,Algeria,ALG,DZA,16,63,851,0,0,0,0,,0
2015,Nigeria,NIG,NGA,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2015,Sudan,SUD,SDN,Algeria,ALG,DZA,5,5,0,0,0,0,0,,0
2015,Syrian Arab Rep.,SYR,SYR,Algeria,ALG,DZA,0,6211,0,0,0,0,0,,0
2015,Togo,TOG,TGO,Algeria,ALG,DZA,5,0,0,0,0,0,0,,0
2015,Western Sahara,WSH,ESH,Algeria,ALG,DZA,90000,0,0,0,0,0,0,,0
2015,Yemen,YEM,YEM,Algeria,ALG,DZA,5,41,0,0,0,0,0,,0
2015,Burundi,BDI,BDI,Angola,ANG,AGO,9,94,0,0,0,0,0,,0
2015,Central African Rep.,CAR,CAF,Angola,ANG,AGO,9,76,0,0,0,0,0,,0
2015,Chad,CHD,TCD,Angola,ANG,AGO,184,780,0,0,0,0,0,,0
2015,Congo,COB,COG,Angola,ANG,AGO,5,58,0,0,0,0,0,,0
2015,Dem. Rep. of the Congo,COD,COD,Angola,ANG,AGO,12944,500,0,0,0,0,0,,0
2015,Eritrea,ERT,ERI,Angola,ANG,AGO,34,1767,0,0,0,0,0,,0
2015,Ethiopia,ETH,ETH,Angola,ANG,AGO,0,57,0,0,0,0,0,,0
2015,Guinea-Bissau,GNB,GNB,Angola,ANG,AGO,0,268,0,0,0,0,0,,0
2015,Guinea,GUI,GIN,Angola,ANG,AGO,107,9145,0,0,0,0,0,,0
2015,Cote d'Ivoire,ICO,CIV,Angola,ANG,AGO,510,5938,0,0,0,0,0,,0
2015,Liberia,LBR,LBR,Angola,ANG,AGO,155,478,0,0,0,0,0,,0
2015,Mauritania,MAU,MRT,Angola,ANG,AGO,306,5403,0,0,0,0,0,,0
2015,Rwanda,RWA,RWA,Angola,ANG,AGO,273,67,0,0,0,0,0,,0
2015,Sierra Leone,SLE,SLE,Angola,ANG,AGO,374,1497,0,0,0,0,0,,0
2015,Somalia,SOM,SOM,Angola,ANG,AGO,288,1731,0,0,0,0,0,,0
2015,Sudan,SUD,SDN,Angola,ANG,AGO,313,1670,0,0,0,0,0,,0
2015,United Rep. of Tanzania,TAN,TZA,Angola,ANG,AGO,5,0,0,0,0,0,0,,0
2015,Uganda,UGA,UGA,Angola,ANG,AGO,6,6,0,0,0,0,0,,0
2015,Western Sahara,WSH,ESH,Angola,ANG,AGO,18,596,0,0,0,0,0,,0
2015,Zambia,ZAM,ZMB,Angola,ANG,AGO,7,0,0,0,0,0,0,,0
2015,Syrian Arab Rep.,SYR,SYR,Antigua and Barbuda,ANT,ATG,15,0,0,0,0,0,0,,0
2015,Afghanistan,AFG,AFG,Egypt,ARE,EGY,0,33,0,0,0,0,0,,0
2015,Algeria,ALG,DZA,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2015,Burundi,BDI,BDI,Egypt,ARE,EGY,24,18,0,0,0,0,0,,0
2015,Benin,BEN,BEN,Egypt,ARE,EGY,0,6,0,0,0,0,0,,0
2015,Bangladesh,BGD,BGD,Egypt,ARE,EGY,0,25,0,0,0,0,0,,0
2015,Central African Rep.,CAR,CAF,Egypt,ARE,EGY,0,18,0,0,0,0,0,,0
2015,Chad,CHD,TCD,Egypt,ARE,EGY,45,67,0,0,0,0,0,,0
2015,China,CHI,CHN,Egypt,ARE,EGY,5,9,0,0,0,0,0,,0
2015,Cameroon,CMR,CMR,Egypt,ARE,EGY,0,43,0,0,0,0,0,,0
2015,Congo,COB,COG,Egypt,ARE,EGY,5,37,0,0,0,0,0,,0
2015,Dem. Rep. of the Congo,COD,COD,Egypt,ARE,EGY,41,19,0,0,0,0,0,,0
2015,Djibouti,DJB,DJI,Egypt,ARE,EGY,5,14,0,0,0,0,0,,0
2015,Eritrea,ERT,ERI,Egypt,ARE,EGY,1405,2431,0,0,0,0,0,,0
2015,Ethiopia,ETH,ETH,Egypt,ARE,EGY,1085,5846,0,0,0,0,0,,0
2015,Gambia,GAM,GMB,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2015,Palestinian,GAZ,PSE,Egypt,ARE,EGY,70021,5,0,0,0,0,0,,0
2015,Ghana,GHA,GHA,Egypt,ARE,EGY,0,37,0,0,0,0,0,,0
2015,Guinea-Bissau,GNB,GNB,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2015,Guinea,GUI,GIN,Egypt,ARE,EGY,9,55,0,0,0,0,0,,0
2015,Cote d'Ivoire,ICO,CIV,Egypt,ARE,EGY,249,28,6,0,0,0,0,,0
2015,Iran (Islamic Rep. of),IRN,IRN,Egypt,ARE,EGY,5,5,0,0,0,0,0,,0
