year,coo_name,coo,coo_iso,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2010,Afghanistan,AFG,AFG,Afghanistan,AFG,AFG,0,0,0,351907,3366,0,838250,,0
2010,Iran (Islamic Rep. of),IRN,IRN,Afghanistan,AFG,AFG,30,21,0,0,0,0,0,,0
2010,Iraq,IRQ,IRQ,Afghanistan,AFG,AFG,6,0,0,0,0,0,0,,0
2010,Pakistan,PAK,PAK,Afghanistan,AFG,AFG,6398,9,0,0,0,0,0,,0
2010,Egypt,ARE,EGY,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2010,China,CHI,CHN,Albania,ALB,ALB,6,0,0,0,0,0,0,,0
2010,Palestinian,GAZ,PSE,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2010,Iraq,IRQ,IRQ,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2010,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,Albania,ALB,ALB,49,20,0,0,0,0,0,,0
2010,Türkiye,TUR,TUR,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2010,Angola,ANG,AGO,Algeria,ALG,DZA,5,0,0,0,0,0,0,,0
2010,Benin,BEN,BEN,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2010,Chad,CHD,TCD,Algeria,ALG,DZA,0,10,0,0,0,0,0,,0
2010,Cameroon,CMR,CMR,Algeria,ALG,DZA,6,92,0,0,0,0,0,,0
2010,Congo,COB,COG,Algeria,ALG,DZA,6,5,0,0,0,0,0,,0
2010,Dem. Rep. of the Congo,COD,COD,Algeria,ALG,DZA,66,26,0,0,0,0,0,,0
2010,Palestinian,GAZ,PSE,Algeria,ALG,DZA,4007,11,0,0,0,0,0,,0
2010,Guinea,GUI,GIN,Algeria,ALG,DZA,0,17,0,0,0,0,0,,0
2010,Cote d'Ivoire,ICO,CIV,Algeria,ALG,DZA,20,47,0,0,0,0,0,,0
2010,Iraq,IRQ,IRQ,Algeria,ALG,DZA,15,5,0,0,0,0,0,,0
2010,Liberia,LBR,LBR,Algeria,ALG,DZA,5,22,0,0,0,0,0,,0
2010,Libya,LBY,LBY,Algeria,ALG,DZA,6,0,0,0,0,0,0,,0
2010,Niger,NGR,NER,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2010,Nigeria,NIG,NGA,Algeria,ALG,DZA,0,35,0,0,0,0,0,,0
2010,Somalia,SOM,SOM,Algeria,ALG,DZA,5,0,0,0,0,0,0,,0
2010,Sudan,SUD,SDN,Algeria,ALG,DZA,0,20,0,0,0,0,0,,0
2010,Western Sahara,WSH,ESH,Algeria,ALG,DZA,90000,0,0,0,0,0,0,,0
2010,Burundi,BDI,BDI,Angola,ANG,AGO,14,13,0,0,0,0,0,,0
2010,Central African Rep.,CAR,CAF,Angola,ANG,AGO,6,0,0,0,0,0,0,,0
2010,Chad,CHD,TCD,Angola,ANG,AGO,148,61,0,0,0,0,0,,0
2010,Congo,COB,COG,Angola,ANG,AGO,45,163,0,0,0,0,0,,0
2010,Dem. Rep. of the Congo,COD,COD,Angola,ANG,AGO,13648,1508,0,0,0,0,0,,0
2010,Eritrea,ERT,ERI,Angola,ANG,AGO,6,43,0,0,0,0,0,,0
2010,Ethiopia,ETH,ETH,Angola,ANG,AGO,0,6,0,0,0,0,0,,0
2010,Guinea-Bissau,GNB,GNB,Angola,ANG,AGO,0,17,0,0,0,0,0,,0
2010,Guinea,GUI,GIN,Angola,ANG,AGO,36,78,0,0,0,0,0,,0
2010,Cote d'Ivoire,ICO,CIV,Angola,ANG,AGO,211,1213,0,0,0,0,0,,0
2010,Liberia,LBR,LBR,Angola,ANG,AGO,75,158,0,0,0,0,0,,0
2010,Mauritania,MAU,MRT,Angola,ANG,AGO,83,90,0,0,0,0,0,,0
2010,Rwanda,RWA,RWA,Angola,ANG,AGO,444,8,0,0,0,0,0,,0
2010,Senegal,SEN,SEN,Angola,ANG,AGO,0,10,0,0,0,0,0,,0
2010,Sierra Leone,SLE,SLE,Angola,ANG,AGO,219,462,0,0,0,0,0,,0
