year,coo_name,coo,coo_iso,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2012,Afghanistan,AFG,AFG,Afghanistan,AFG,AFG,0,0,0,486298,18830,0,879376,,0
2012,Iran (Islamic Rep. of),IRN,IRN,Afghanistan,AFG,AFG,37,12,0,0,0,0,0,,0
2012,Pakistan,PAK,PAK,Afghanistan,AFG,AFG,16147,37,0,0,0,0,0,,0
2012,China,CHI,CHN,Albania,ALB,ALB,10,0,0,0,0,0,0,,0
2012,Dem. Rep. of the Congo,COD,COD,Albania,ALB,ALB,0,5,0,0,0,0,0,,0
2012,Palestinian,GAZ,PSE,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2012,Iraq,IRQ,IRQ,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2012,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,Albania,ALB,ALB,54,18,0,0,0,0,0,,0
2012,Syrian Arab Rep.,SYR,SYR,Albania,ALB,ALB,0,5,0,0,0,0,0,,0
2012,Türkiye,TUR,TUR,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2012,Uzbekistan,UZB,UZB,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2012,Stateless,STA,XXA,Albania,ALB,ALB,0,0,0,0,0,7443,0,,0
2012,Angola,ANG,AGO,Algeria,ALG,DZA,5,0,0,0,0,0,0,,0
2012,Burundi,BDI,BDI,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2012,Benin,BEN,BEN,Algeria,ALG,DZA,0,16,0,0,0,0,0,,0
2012,Burkina Faso,BKF,BFA,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2012,Central African Rep.,CAR,CAF,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2012,Chad,CHD,TCD,Algeria,ALG,DZA,0,20,0,0,0,0,0,,0
2012,Cameroon,CMR,CMR,Algeria,ALG,DZA,6,681,0,0,0,0,0,,0
2012,Congo,COB,COG,Algeria,ALG,DZA,7,5,0,0,0,0,0,,0
2012,Dem. Rep. of the Congo,COD,COD,Algeria,ALG,DZA,39,67,0,0,0,0,0,,0
2012,Palestinian,GAZ,PSE,Algeria,ALG,DZA,4020,45,0,0,0,0,0,,0
2012,Guinea,GUI,GIN,Algeria,ALG,DZA,5,60,0,0,0,0,0,,0
2012,Cote d'Ivoire,ICO,CIV,Algeria,ALG,DZA,23,281,0,0,0,0,0,,0
2012,Iraq,IRQ,IRQ,Algeria,ALG,DZA,15,5,0,0,0,0,0,,0
2012,Liberia,LBR,LBR,Algeria,ALG,DZA,0,14,0,0,0,0,0,,0
2012,Libya,LBY,LBY,Algeria,ALG,DZA,0,44,6,0,0,0,0,,0
2012,Mali,MLI,MLI,Algeria,ALG,DZA,0,50,0,0,0,0,0,,0
2012,Niger,NGR,NER,Algeria,ALG,DZA,0,21,0,0,0,0,0,,0
2012,Nigeria,NIG,NGA,Algeria,ALG,DZA,0,119,0,0,0,0,0,,0
2012,Somalia,SOM,SOM,Algeria,ALG,DZA,5,0,0,0,0,0,0,,0
